
0.666666666667, 75.0, 8; 0.741573033708, 89.0, 12; 
0.602941176471, 68.0, 7; 0.732558139535, 86.0, 13; 
0.598039215686, 102.0, 10; 0.698630136986, 73.0, 10; 
0.753246753247, 77.0, 8; 0.69696969697, 66.0, 12; 
0.685714285714, 35.0, 4; 0.786516853933, 89.0, 16; 
0.711538461538, 52.0, 6; 0.710843373494, 83.0, 14; 
0.666666666667, 117.0, 13; 0.714285714286, 63.0, 7; 
0.690909090909, 55.0, 7; 0.742857142857, 70.0, 13; 
0.75, 64.0, 9; 0.62962962963, 81.0, 11; 
0.660550458716, 109.0, 10; 0.672131147541, 61.0, 10; 
0.742857142857, 35.0, 0; 0.671641791045, 134.0, 20; 
0.772727272727, 22.0, 0; 0.703389830508, 118.0, 20; 
0.7, 30.0, 0; 0.661290322581, 124.0, 20; 
0.644444444444, 45.0, 0; 0.688679245283, 106.0, 20; 
0.833333333333, 24.0, 0; 0.717741935484, 124.0, 20; 
0.851851851852, 27.0, 0; 0.72, 100.0, 20; 
0.545454545455, 33.0, 0; 0.647058823529, 136.0, 20; 
0.491525423729, 59.0, 0; 0.661290322581, 124.0, 20; 
0.769230769231, 26.0, 0; 0.709090909091, 110.0, 20; 
0.659574468085, 47.0, 0; 0.703703703704, 108.0, 20; 
