0,0,
1,0,
1,1,
1,2,
2,2,
3,2,
4,2,
5,2,
6,2,
6,3,
7,3,
8,3,
9,3,
10,3,
11,3,
12,3,
13,3,
14,3,
15,3,
16,3,
16,4,
17,4,
17,5,
18,5,
19,5,
20,5,
21,5,
21,6,
22,6,
23,6,
24,6,
24,7,
25,7,
26,7,
27,7,
27,8,
27,9,
27,10,
28,10,
28,11,
29,11,
29,12,
30,12,
30,13,
31,13,
31,14,
31,15,
31,16,
32,16,
32,17,
33,17,
34,17,
34,18,
35,18,
35,19,
36,19,
36,20,
37,20,
37,21,
38,21,
39,21,
40,21,
40,22,
41,22,
41,23,
42,23,
42,24,
43,24,
43,25,
43,26,
44,26,
44,27,
45,27,
45,28,
46,28,
47,28,
48,28,
48,29,
48,30,
49,30,
49,31,
49,32,
49,33,
50,33,
51,33,
51,34,
52,34,
52,35,
52,36,
52,37,
53,37,
53,38,
54,38,
54,39,
55,39,
56,39,
56,40,
57,40,
58,40,
59,40,
60,40,
