0,0,
1,0,
2,0,
2,1,
2,2,
3,2,
4,2,
4,3,
5,3,
6,3,
7,3,
8,3,
8,4,
9,4,
10,4,
11,4,
12,4,
13,4,
14,4,
15,4,
16,4,
17,4,
18,4,
19,4,
20,4,
21,4,
22,4,
23,4,
24,4,
24,5,
25,5,
26,5,
27,5,
27,6,
28,6,
28,7,
29,7,
30,7,
31,7,
31,8,
31,9,
31,10,
32,10,
33,10,
33,11,
33,12,
33,13,
34,13,
34,14,
35,14,
35,15,
35,16,
35,17,
36,17,
36,18,
36,19,
36,20,
36,21,
36,22,
36,23,
36,24,
37,24,
37,25,
37,26,
38,26,
38,27,
39,27,
39,28,
40,28,
40,29,
40,30,
40,31,
40,32,
40,33,
40,34,
40,35,
40,36,
41,36,
41,37,
41,38,
41,39,
42,39,
42,40,
42,41,
42,42,
42,43,
43,43,
43,44,
44,44,
44,45,
44,46,
44,47,
44,48,
44,49,
44,50,
44,51,
44,52,
44,53,
44,54,
44,55,
45,55,
