Comfort Inn Central West End,True,False,True,False,True
Holiday Inn St. Louis - Downtown Conv Ctr,True,False,True,True,True
Magnolia St. Louis,True,False,True,True,True
Comfort Inn St Louis - Westport,True,False,True,False,True
Hampton Inn St Louis Downtown,True,False,True,True,True
Hampton Inn & Suites Saint Louis at Forest Park,True,False,True,False,True
Courtyard Saint Louis Westport Plaza,True,False,True,False,True
Clayton Plaza,True,False,True,True,True
Grand Center Inn,False,False,True,False,True
Hilton Saint Louis Airport,True,False,True,False,True
Hilton St Louis Frontenac,True,False,True,True,True
Home2 Suites By Hilton St. Louis/Forest Park,True,False,True,False,True
Lumiere Place Casino and Hotel,True,False,True,True,True
Americas Best Value Inn-St. Louis Downtown,False,False,True,False,True
Hilton St. Louis at the Ballpark,True,False,True,True,True
Crowne Plaza St. Louis - Downtown,True,False,True,True,True
Red Roof Inn St Louis - Forest Park Hampton Avenue,False,False,True,False,True
Avyan,True,False,True,False,True
Courtyard St Louis Airport - Earth City,True,False,True,False,True
St. Louis City Center Hotel,True,False,True,True,True
Extended Stay America - St. Louis - Westport - Craig Road,True,True,True,False,True
Hilton Garden Inn Saint Louis Airport,True,False,True,False,True
Lehmann House,False,False,True,False,True
Pear Tree Inn St. Louis Airport,True,False,True,False,True
Marriott St Louis Airport,True,False,True,False,True
Extended Stay America - St. Louis - Westport - Central,True,False,True,False,True
Days Inn Saint Louis - Lindbergh Boulevard,False,True,True,False,True
Super 8 St Louis Airport,False,True,True,False,True
Holiday Inn Saint Louis-Airport - Oakland PK,True,False,True,False,True
Marriott St. Louis West,True,False,True,True,True
The Westin St Louis,True,False,True,True,True
Hawthorn Suites by Wyndham St Louis Westport Plaza,True,False,True,False,True
SpringHill Suites St Louis Airport-Earth City,True,False,True,False,True
Renaissance St Louis Airport,True,False,True,True,True
Sheraton Westport Chalet Saint Louis,True,False,True,False,True
Sheraton Westport Plaza,True,False,True,False,True
Holiday Inn St Louis-South County Center,True,False,True,False,True
Motel 6 St Louis - Airport,False,True,False,False,False
Americas Best Value Inn St Louis Airport,False,True,True,False,True
Americas Best Value Inn Saint Louis South,True,True,True,False,True
Hyatt Regency St. Louis at The Arch,True,False,True,True,True
Econo Lodge Southwest,True,True,True,False,True
Days Inn St Louis Westport MO,True,True,True,False,True
Red Roof Inn St Louis Westport,False,True,True,False,True
Residence Inn St Louis Galleria,True,False,True,False,True
DoubleTree by Hilton St Louis Union Station,True,False,True,True,True
Homewood Suites by Hilton St. Louis Riverport,True,False,True,False,True
Holiday Inn Express St. Louis Airport - Riverport,True,False,True,False,True
Pear Tree Inn St. Louis Near Union Station,True,False,True,False,True
Doubletree St Louis at Westport,True,False,True,False,True
Americas Best Value Inn St. Louis,False,False,False,False,True
Hilton St. Louis Downtown at the Arch,True,False,True,True,True
Residence Inn St Louis,True,False,True,False,True
Sonesta ES Suites St. Louis,True,False,True,False,True
Forget-Me-Not Bed And Breakfast,False,False,True,False,True
Days Inn Downtown St Louis,True,False,False,True,True
Four Seasons Saint Louis,True,False,True,True,True
Fleur-De-Lys Mansion,False,False,True,True,True
The Cheshire,True,False,True,False,True
Napoleon's Retreat,False,False,True,False,True
The Ritz-Carlton - St. Louis,True,False,True,True,True
Best Western Kirkwood Inn,True,False,True,False,True
Holiday Inn Airport West Earth City,True,False,True,False,True
Holiday Inn St Louis SW - Route66,True,False,True,False,True
Holiday Inn Express St Louis,True,False,True,False,True
Parkway,True,False,True,False,True
Drury Inn & Suites Near Forest Park,True,False,True,False,True
The Chase Park Plaza,True,False,True,True,True
Drury Inn Saint Louis Airport,True,False,True,False,True
Drury Inn Saint Louis Union Station,True,False,True,True,True
Ignacio,True,False,True,False,True
Best Western St Louis Inn,True,False,True,False,True
Courtyard By Marriott St Louis Downtown Convention Center,True,False,True,True,True
Candlewood Suites Saint Louis,True,False,True,False,True
Missouri Athletic Club,True,False,True,True,True
Marriott St. Louis Grand,True,False,True,True,True
Embassy Suites St. Louis - Downtown,True,False,True,True,True
Holiday Inn St. Louis - Forest Park,True,False,True,True,True
Hampton Inn & Suites St Louis - South I-55,True,False,True,False,True
Drury Plaza at the Arch,True,False,True,True,True
Hampton Inn St Louis-Airport,True,False,True,False,True
Lodge At Grants Trail,False,False,True,True,True
River City,True,False,True,True,True
Drury Inn & Suites St. Louis Convention Center,True,False,True,True,True
Homewood Suites By Hilton St Louis Galleria,True,False,True,True,True
Quality Inn Airport,True,True,True,False,True
Moonrise,True,False,True,True,True
Hampton Inn Saint Louis - Sunset Hills,True,False,True,False,True
Sheraton Clayton Plaza Saint Louis,True,False,True,True,True
Courtyard St Louis Downtown,True,False,True,True,True
