WorkTimeInSeconds,Input.Hotel,Input.Question,Answer.Q1AnswerPart1
56,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
31,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
26,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
61,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
16,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
23,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
28,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
93,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
30,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
5,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
49,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
30,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
33,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
26,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
38,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
340,Days Inn St Louis Westport MO,Are the rooms of this hotel reasonably comfortable?,1
207,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
56,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
9,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
94,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
96,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
8,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
45,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
16,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
9,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
169,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
68,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
24,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
7,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
5,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
175,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
52,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
35,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
88,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
29,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
4,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
6,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
8,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
36,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
37,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
131,Fleur-De-Lys Mansion,Are the rooms of this hotel reasonably comfortable?,1
148,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
101,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
28,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
4,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
3,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
77,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,-1
91,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
38,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,-1
558,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
79,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,-1
6,Americas Best Value Inn-St. Louis Downtown,Are the rooms of this hotel reasonably comfortable?,1
