1,658
1,618
1,684
1,636
1,680
1,702
1,655
1,648
1,648
1,622
1,718
1,673
1,678
1,695
1,627
1,625
1,660
1,701
1,682
1,680
2,641
2,643
2,746
2,647
2,648
2,691
2,668
2,639
2,707
2,712
2,619
2,669
2,674
2,670
2,704
2,654
2,683
2,667
2,676
2,677
3,686
3,796
3,671
3,698
3,759
3,654
3,693
3,736
3,647
3,647
3,723
3,694
3,644
3,652
3,637
3,657
3,672
3,675
3,732
3,679
4,774
4,653
4,694
4,727
4,723
4,715
4,676
4,718
4,704
4,687
4,736
4,711
4,677
4,722
4,671
4,677
4,780
4,705
4,648
4,678
5,786
5,757
5,697
5,706
5,726
5,728
5,700
5,717
5,752
5,728
5,681
5,696
5,746
5,650
5,717
5,742
5,701
5,719
5,694
5,715
6,665
6,793
6,775
6,715
6,635
6,785
6,678
6,747
6,677
6,677
6,726
6,671
6,768
6,747
6,746
6,711
6,695
6,697
6,722
6,665
7,777
7,797
7,744
7,707
7,664
7,767
7,727
7,729
7,745
7,718
7,728
7,688
7,695
7,748
7,709
7,788
7,724
7,744
7,734
7,739
8,740
8,742
8,750
8,744
8,788
8,726
8,690
8,675
8,705
8,667
8,721
8,809
8,740
8,731
8,759
8,763
8,836
8,696
8,711
8,713
9,734
9,696
9,775
9,797
9,758
9,761
9,755
9,750
9,746
9,733
9,701
9,718
9,817
9,717
9,725
9,847
9,715
9,778
9,748
9,770
10,751
10,798
10,725
10,718
10,684
10,786
10,749
10,745
10,759
10,804
10,854
10,723
10,730
10,718
10,798
10,762
10,735
10,789
10,704
10,733
